,Name,Symbol,Market Cap
0,ExxonMobilCorporation,XOM,"$384,845.80"
1,GeneralElectricCompany,GE,"$346,042.10"
2,MicrosoftCorporation,MSFT,"$299,647.60"
3,BPp.l.c.,BP,"$248,469.70"
4,"Citigroup,Inc.",C,"$231,977.70"
5,Procter&GambleCompany(The),PG,"$194,814.00"
6,"Wal-MartStores,Inc.",WMT,"$191,978.50"
7,"Pfizer,Inc.",PFE,"$189,297.40"
8,"HSBCHoldings,plc.",HBC,"$188,804.60"
9,ToyotaMotorCorporation,TM,"$187,196.40"
10,JOHNSON&JOHNSON,JNJ,"$179,515.80"
11,BankofAmericaCorporation,BAC,"$176,906.20"
12,"AmericanInternationalGroup,Inc.",AIG,"$169,908.50"
13,"TotalFinaElf,S.A.",TOT,"$169,852.60"
14,NovartisAG,NVS,"$151,092.70"
15,AltriaGroup,MO,"$150,638.60"
16,GLAXOSMITHKLINEPLC,GSK,"$149,062.80"
17,MitsubishiUFJFinancialGroupInc,MTU,"$146,421.90"
18,J.P.MorganChase&Co.,JPM,"$138,596.30"
19,ROYALDUTCHSHELLPLC,RDS/A,"$133,773.40"
20,ChevronTexacoCorporation,CVX,"$133,307.10"
21,Sanofi-AventisSA,SNY,"$128,920.20"
22,VodafoneAirTouchPublicLimitedCompany,VOD,"$128,885.40"
23,IntelCorporation,INTC,"$128,146.40"
24,InternationalBusinessMachinesCorporation,IBM,"$127,641.00"
25,ENIS.p.A.,E,"$121,462.50"
26,"CiscoSystems,Inc.",CSCO,"$114,067.10"
27,BerkshireHathawayInc.,BRK/A,"$112,846.90"
28,UBSAG,UBS,"$110,546.60"
29,WellsFargoCapIX,WFC,"$104,281.10"
30,AT&TInc.,T,"$101,549.80"
31,ROYALDUTCHSHELLPLC,RDS/B,"$99,061.00"
32,Coca-ColaCompany(The),KO,"$98,450.10"
33,ChinaMobile(HongKong)Ltd.,CHL,"$97,501.20"
34,"Pepsico,Inc.",PEP,"$94,976.00"
35,VerizonCommunicationsInc.,VZ,"$92,763.80"
36,CONOCOPHILLIPS,COP,"$92,112.70"
37,"Genentech,Inc.",DNA,"$90,603.70"
38,AmgenInc.,AMGN,"$89,969.60"
39,"BancoSantanderCentralHispano,S.A.",STD,"$89,248.80"
40,Hewlett-PackardCompany,HPQ,"$87,958.60"
41,GoogleInc.,GOOG,"$86,317.00"
42,"HomeDepot,Inc.(The)",HD,"$86,139.80"
43,WachoviaCorporation,WB,"$85,370.30"
44,SiemensAG,SI,"$81,605.60"
45,NokiaCorporation,NOK,"$81,494.80"
46,UnitedHealthGroupIncorporated,UNH,"$81,108.30"
47,TimeWarnerInc.,TWX,"$80,206.10"
48,QUALCOMMIncorporated,QCOM,"$78,855.30"
49,"INGGroup,N.V.",ING,"$78,822.70"
50,NTTDocomoInc,DCM,"$77,676.50"
51,E.ONAG,EON,"$77,504.80"
52,ASTRAZENECAPLC,AZN,"$76,838.50"
53,"Merck&Company,Inc.",MRK,"$75,438.80"
54,SchlumbergerN.V.,SLB,"$75,079.30"
55,TelefonicaSA,TEF,"$75,014.40"
56,MobileTeleSystems,MBT,"$74,709.90"
57,NipponTelegraphandTelephoneCorporation,NTT,"$73,164.20"
58,BHPBillitonLimited,BHP,"$70,814.20"
59,CREDITSUISSEGROUP,CSR,"$70,042.90"
60,BarclaysPLC,BCS,"$69,336.30"
61,DellInc.,DELL,"$68,981.70"
62,"MerrillLynch&Co.,Inc.",MER,"$68,778.10"
63,BancoBilbaoViscayaArgentariaS.A.,BBV,"$68,630.80"
64,"Medtronic,Inc.",MDT,"$68,305.80"
65,AbbottLaboratories,ABT,"$66,935.50"
66,DeutscheTelekomAG,DT,"$66,534.40"
67,AmericanExpressCompany,AXP,"$65,090.50"
68,MorganStanley,MS,"$64,994.30"
69,"SAPAktiengesellschaftSysteme,Anwendungen,Produkt",SAP,"$64,993.50"
70,SprintNextelCorporation,S,"$64,848.10"
71,OracleCorporation,ORCL,"$64,758.40"
72,EliLillyandCompany,LLY,"$64,355.90"
73,AllianzAktiengesellschaft,AZ,"$64,122.00"
74,"GoldmanSachsGroup,Inc.(The)",GS,"$63,675.40"
75,"AppleComputer,Inc.",AAPL,"$63,637.40"
76,AXA,AXA,"$63,391.30"
77,AmericanHomeProductsCorporation,WYE,"$62,079.50"
78,STATOILASA,STO,"$60,629.60"
79,eBayInc.,EBAY,"$60,269.70"
80,PetroleoBrasileiroS.A.-Petrobras,PBR,"$59,929.00"
81,UnitedTechnologiesCorporation,UTX,"$59,458.80"
82,FranceTelecomS.A.,FTE,"$59,248.60"
83,AngloAmericanplc,AAUK,"$58,155.30"
84,DAIMLERCHRYSLERAG,DCX,"$58,055.10"
85,DeutscheBankAG,DB,"$58,039.10"
86,LMEricssonTelephoneCompany,ERICY,"$57,762.40"
87,"Motorola,Inc.",MOT,"$56,566.00"
88,FederalNationalMortgageAssociation,FNM,"$56,080.40"
89,BoeingCompany(The),BA,"$55,144.30"
90,3MCompany,MMM,"$54,892.60"
91,SPDRTrustSeriesI,SPY,"$54,770.60"
92,RioTintoPlc,RTP,"$54,672.70"
93,U.S.Bancorp,USB,"$54,326.90"
94,"Canon,Inc.",CAJ,"$53,520.10"
95,TaiwanSemiconductorManufacturingCompanyLimited,TSM,"$53,411.10"
96,"MatsushitaElectricIndustrialCompany,Ltd.",MC,"$53,403.00"
97,"TycoInternational,Ltd.",TYC,"$52,988.00"
98,ABNAmroHoldingN.V.,ABN,"$52,842.50"
99,"HondaMotorCompany,Ltd.",HMC,"$52,826.80"
100,ENELS.p.A.,EN,"$52,286.60"
101,StructuredProductsCorp.,BLS,"$51,670.90"
102,LLOYDSTSBGROUPPLC,LYG,"$51,544.10"
103,"NissanMotorCo.,Ltd.",NSANY,"$50,519.00"
104,RoyalBankOfCanada,RY,"$50,481.70"
105,"Lowe'sCompanies,Inc.",LOW,"$49,691.00"
106,SonyCorporation,SNE,"$48,936.40"
107,Yahoo!Inc.,YHOO,"$48,769.10"
108,WaltDisneyCompany(The),DIS,"$48,653.60"
109,ManulifeFinancialCorp,MFC,"$48,275.90"
110,TargetCorporation,TGT,"$48,135.30"
111,TelefonicaMovilesS.A.,TEM,"$47,852.60"
112,"BritishAmericanTobaccoIndustries,p.l.c.",BTI,"$47,662.40"
113,"UnitedParcelService,Inc.",UPS,"$47,629.80"
114,WellPointHealthNetworksInc.,WLP,"$47,324.20"
115,TexasInstrumentsIncorporated,TXN,"$47,295.70"
116,SUEZADS,SZE,"$47,234.00"
117,FederalHomeLoanMortgageCorporation,FRE,"$46,957.80"
118,BHPBILLITONPLC,BBL,"$46,524.60"
119,"Caterpillar,Inc.",CAT,"$46,186.10"
120,LehmanABSCorporation,BMY,"$44,589.10"
121,"KoninklijkePhilipsElectronics,N.V.",PHG,"$44,312.10"
122,McDonald'sCorporation,MCD,"$44,062.60"
123,WalgreenCompany,WAG,"$43,803.20"
124,Diageoplc,DEO,"$43,017.90"
125,EncanaCorporation,ECA,"$42,826.20"
126,Brown-FormanCorporation,BF,"$42,299.50"
127,"AmericaMovil,S.A.deC.V.",AMX,"$41,854.50"
128,"WashingtonMutual,Inc.",WM,"$41,503.60"
129,NationalAustraliaBankLimited,NAB,"$41,326.70"
130,HalliburtonCompany,HAL,"$40,832.30"
131,DowChemicalCompany(The),DOW,"$40,824.70"
132,UnileverNV,UN,"$40,124.60"
133,BGGroupplc,BRG,"$40,090.90"
134,PETROLEOBRASILEIROSAPETRO,PBR/A,"$39,856.30"
135,OccidentalPetroleumCorporation,OXY,"$39,295.40"
136,ALCONINC,ACL,"$39,244.30"
137,BankofNovaScotia(The),BNS,"$38,832.10"
138,ValeroEnergyCorporation,VLO,"$38,623.40"
139,CiaValedoRioDoce,RIO,"$38,449.90"
140,NomuraHoldingsIncADR,NMR,"$38,355.10"
141,EXELONCORP,EXC,"$38,312.10"
142,PrudentialFinancialInc,PRU,"$38,046.70"
143,"MetLife,Inc.",MET,"$37,985.00"
144,TorontoDominionBank(The),TD,"$37,926.30"
145,ComcastCorporation,CMCSA,"$37,907.90"
146,LehmanBrothersFinSA,LEH,"$37,627.80"
147,TelecomItaliaS.P.A.,TI,"$37,557.70"
148,CorningIncorporated,GLW,"$37,114.60"
149,SuncorEnergyInc.,SU,"$36,617.80"
150,VivendiUniversal,V,"$36,115.40"
151,E.I.duPontdeNemoursandCompany,DD,"$35,993.50"
152,CNOOCLimited,CEO,"$35,344.00"
153,Australia&NewZealandBankingGroupLimited,ANZ,"$34,934.70"
154,NewsCorporationLimited(The),NWS/A,"$34,905.90"
155,FirstDataCorporation,FDC,"$34,397.80"
156,MilleaHoldingsInc.ADR,MLEA,"$34,316.40"
157,BurlingtonResourcesInc.,BR,"$34,255.40"
158,AllstateCorporation(The),ALL,"$33,761.80"
159,CanadianNaturalResourcesLimited,CNQ,"$33,253.60"
160,RepsolYPFS.A.,REP,"$33,219.70"
161,CarnivalCorporation,CCL,"$32,977.20"
162,WestpacBankingCorporation,WBK,"$32,532.00"
163,HoneywellInternationalInc.,HON,"$32,378.80"
164,"Anheuser-BuschCompanies,Inc.",BUD,"$32,171.30"
165,EMCCorporation,EMC,"$31,947.60"
166,NorskHydroASA,NHY,"$31,908.30"
167,EmersonElectricCompany,EMR,"$31,846.30"
168,"St.PaulCompanies,Inc.(The)",STA,"$31,423.40"
169,"AppliedMaterials,Inc.",AMAT,"$30,908.40"
170,BTGROUPPLC,BT,"$30,852.00"
171,"CardinalHealth,Inc.",CAH,"$30,849.60"
172,FedExCorporation,FDX,"$30,737.70"
173,BayerAktiengesellschaft,BAY,"$30,535.60"
174,UnileverPLC,UL,"$30,423.30"
175,DevonEnergyCorporation,DVN,"$30,305.70"
176,EndesaS.A.,ELE,"$30,238.00"
177,BankOfMontreal,BMO,"$30,003.40"
178,BurlingtonNorthernSantaFeCorporation,BNI,"$29,772.60"
179,GROUPEDANONE,DA,"$29,673.60"
180,"Viacom,Inc.",VIA/B,"$29,325.10"
181,LockheedMartinCorporation,LMT,"$29,218.00"
182,KoreaElectricPowerCorporation,KEP,"$29,152.80"
183,Colgate-PalmoliveCompany,CL,"$28,436.00"
184,Schering-PloughCorp,SGP,"$28,322.90"
185,MarathonOilCorporation,MRO,"$28,171.20"
186,"NationalGridTransco,PLC",NGG,"$27,995.40"
187,"GileadSciences,Inc.",GILD,"$27,873.50"
188,SasolLtd.,SSL,"$27,699.00"
189,AetnaInc.,AET,"$27,685.90"
190,AlcoaInc.,AA,"$27,413.50"
191,TevaPharmaceuticalIndustriesLimited,TEVA,"$26,839.80"
192,KookminBank,KB,"$26,822.90"
193,TransoceanInc.,RIG,"$26,786.20"
194,Kimberly-ClarkCorporation,KMB,"$26,685.80"
195,BakerHughesIncorporated,BHI,"$26,472.40"
196,DukeEnergyCorporation,DUK,"$26,296.50"
197,"DominionResources,Inc.",D,"$26,229.80"
198,"SunTrustBanks,Inc.",STI,"$25,863.80"
199,SouthernCompany(The),SO,"$25,821.60"
200,AEGONN.V.,AEG,"$25,807.50"
201,SanpaoloIMIS.p.A.,IMI,"$25,796.20"
202,NewmontMiningCorporation(HoldingCompany),NEM,"$25,644.80"
203,"FranklinResources,Inc.",BEN,"$25,427.20"
204,AnadarkoPetroleumCorporation,APC,"$25,351.20"
205,"AutomaticDataProcessing,Inc.",ADP,"$25,335.80"
206,ApacheCorporation,APA,"$24,871.60"
207,"BestBuyCo.,Inc.",BBY,"$24,819.70"
208,"HartfordFinancialServicesGroup,Inc.(The)",HIG,"$24,700.20"
209,Petro-Canada,PCZ,"$24,691.30"
210,SunLifeFinancialIncorporated,SLF,"$24,611.10"
211,GuidantCorporation,GDT,"$24,570.30"
212,PrudentialPublicLimitedCompany,PUK,"$24,556.40"
213,BerkshireHathawayInc.,BRK/B,"$24,543.80"
214,CemexSaDeCvAAds,CX,"$24,503.70"
215,"BankofNewYorkCompany,Inc.(The)",BK,"$24,490.90"
216,StarbucksCorporation,SBUX,"$24,372.70"
217,TXUCorporation,TXU,"$24,313.70"
218,CanadianNationalRailwayCompany,CNI,"$24,258.00"
219,AdobeSystemsIncorporated,ADBE,"$23,749.90"
220,"Hitachi,Ltd.",HIT,"$23,745.30"
221,IllinoisToolWorksInc.,ITW,"$23,643.60"
222,CostcoWholesaleCorporation,COST,"$23,553.00"
223,AFLACIncorporated,AFL,"$23,492.30"
224,UnionPacificCorporation,UNP,"$23,436.60"
225,CanadianImperialBankofCommerce,BCM,"$23,399.10"
226,SLMCorporation,SLM,"$23,352.80"
227,THOMSONCORP,TOC,"$23,307.70"
228,OrixCorpAds,IX,"$23,302.30"
229,GeneralDynamicsCorporation,GD,"$23,293.20"
230,ALLTELCorporation,AT,"$22,988.20"
231,BaxterInternationalInc.,BAX,"$22,980.50"
232,"Mitsui&Company,Ltd.",MITSY,"$22,873.50"
233,MonsantoCompany,MON,"$22,791.90"
234,ABBLTD,ABB,"$22,680.20"
235,CVSCorporation,CVS,"$22,602.10"
236,"BCE,Inc.",BCE,"$22,450.40"
237,LibertyMediaCorporation,L,"$22,417.50"
238,TalismanEnergyInc.,TLM,"$22,316.30"
239,CapitalOneFinancialCorporation,COF,"$22,208.70"
240,"CaremarkRx,Inc.",CMX,"$22,173.50"
241,ComcastCorporation,CMCSK,"$22,160.50"
242,NorthropGrummanCorporation,NOC,"$22,074.90"
243,GoldenWestFinancialCorporation,GDW,"$21,753.90"
244,NASDAQ-100IndexTrackingStock,QQQQ,"$21,672.00"
245,NorfolkSoutherCorporation,NSC,"$21,296.60"
246,BB&TCorporation,BBT,"$21,202.70"
247,NationalCityCorporation,NCC,"$21,166.70"
248,YPFSociedadAnonima,YPF,"$21,107.70"
249,PetroChinaCompanyLimited,PTR,"$21,103.10"
250,WiproLimited,WIT,"$21,061.60"
251,ImperialTobaccoGroupplc,ITY,"$21,029.10"
252,iSharesMSCIEAFEIndexFund,EFA,"$20,994.20"
253,RoyalKPNN.V.,KPN,"$20,932.70"
254,FifthThirdBancorp,FITB,"$20,845.90"
255,VivendiEnvironnementOrd,VE,"$20,752.90"
256,"CadburySchweppes,PLC",CSG,"$20,750.40"
257,ProgressiveCorporation(The),PGR,"$20,724.40"
258,InfosysTechnologiesLimited,INFY,"$20,622.90"
259,Archer-Daniels-MidlandCompany,ADM,"$20,575.10"
260,HCAInc.,HCA,"$20,490.90"
261,"EOGResources,Inc.",EOG,"$20,423.30"
262,StrykerCorporation,SYK,"$20,208.90"
263,"PohangIron&SteelCo.,Ltd.",PKX,"$20,014.60"
264,StructuredProductsInc8%CorTS,CFC,"$19,995.20"
265,StateStreetCorp,STT,"$19,993.50"
266,SymantecCorporation,SYMC,"$19,877.50"
267,BroadcomCorporation,BRCM,"$19,873.20"
268,"AlliedIrishBanks,p.l.c.",AIB,"$19,601.50"
269,BancoBradescoSa,BBD,"$19,568.20"
270,"MarvellTechnologyGroup,Ltd.",MRVL,"$19,450.00"
271,SearsHoldingsCorporation,SHLD,"$19,438.10"
272,TheDirecTVGroupInc,DTV,"$19,236.20"
273,TenarisS.A.,TS,"$19,177.90"
274,AccentureLtd.,ACN,"$19,174.70"
275,ALCATEL,ALA,"$19,137.10"
276,"McGraw-HillCompanies,Inc.(The)",MHP,"$19,134.90"
277,CharlesSchwabCorporation(The),SCHW,"$19,071.10"
278,ScottishPowerpls,SPI,"$19,060.00"
279,SyscoCorporation,SYY,"$19,030.80"
280,PNCBankCorp.,PNC,"$19,004.00"
281,SWISSCOMAG,SCM,"$18,893.70"
282,ChubbCorporation(The),CB,"$18,860.60"
283,"AdvancedMicroDevices,Inc.",AMD,"$18,794.20"
284,Moody'sCorporation,MCO,"$18,704.70"
285,"SimonPropertyGroup,Inc.",SPG,"$18,608.30"
286,"Amazon.com,Inc.",AMZN,"$18,576.70"
287,LafargeS.A.,LR,"$18,499.50"
288,CBSCorporation,CBS,"$18,473.10"
289,COMPANHIAVALEDORIODOCE,RIO^,"$18,450.00"
290,TelstraCorporationLimited,TLS,"$18,399.00"
291,LoewsCorporation,LTR,"$18,331.40"
292,GenzymeGeneral,GENZ,"$18,318.60"
293,RaytheonCompany,RTN,"$18,302.20"
294,TelenorASA,TELN,"$18,202.60"
295,LasVegasSandsCorp.,LVS,"$18,186.20"
296,"FederatedDepartmentStores,Inc.",FD,"$18,137.80"
297,"ALCAN,Inc.",AL,"$18,086.00"
298,"St.JudeMedical,Inc.",STJ,"$18,007.70"
299,ChunghwaTelecomCoLtd,CHT,"$17,964.10"
300,BostonScientificCorporation,BSX,"$17,941.10"
301,"FujiPhotoFilmCo.,Ltd.",FUJIY,"$17,842.10"
302,XTOEnergyInc.,XTO,"$17,825.70"
303,KelloggCompany,K,"$17,770.70"
304,AceLimited,ACE,"$17,647.50"
305,"WasteManagement,Inc.",WMI,"$17,427.00"
306,"Staples,Inc.",SPLS,"$17,341.30"
307,"GeneralMills,Inc.",GIS,"$17,314.00"
308,DanaherCorporation,DHR,"$17,307.50"
309,"SKTelecomCorporation,Ltd.",SKM,"$17,203.40"
310,CendantCorporation,CD,"$17,148.10"
311,"ZimmerHoldings,Inc.",ZMH,"$17,085.80"
312,NewsCorporationLimited(The),NWS,"$17,029.20"
313,CRHPLC,CRHCY,"$16,989.90"
314,"Praxair,Inc.",PX,"$16,979.00"
315,WeyerhaeuserCompany,WY,"$16,968.30"
316,KyoceraCorporation,KYO,"$16,911.70"
317,Deere&Company,DE,"$16,871.90"
318,NovoNordiskA/S,NVO,"$16,796.10"
319,STMicroelectronicsN.V.,STM,"$16,728.70"
320,GovernorandCompanyoftheBankofIreland(The),IRE,"$16,711.50"
321,PublicServiceEnterpriseGroupIncorporated,PEG,"$16,659.80"
322,MedcoHealthSolutionsInc,MHS,"$16,638.80"
323,"Marsh&McLennanCompanies,Inc.",MMC,"$16,553.40"
324,TelefonosdeMexicoSAdeCVSerASponsADR,TMX,"$16,549.00"
325,FirstEnergyCorporation,FE,"$16,524.80"
326,"FPLGroup,Inc.",FPL,"$16,500.70"
327,ElectronicArtsInc.,ERTS,"$16,405.60"
328,LG.PHILIPS,LPL,"$16,352.20"
329,PUBLICSVCELEC&GASCO,PEG^A,"$16,351.70"
330,McKessonCorporation,MCK,"$16,306.60"
331,PhelpsDodgeCorporation,PD,"$16,298.80"
332,AngloGoldAshantiLtd.,AU,"$16,214.70"
333,"Becton,DickinsonandCompany",BDX,"$16,088.80"
334,BancoItauHoldingFinanceiraSA(HoldingCo),ITU,"$16,046.50"
335,InternationalPaperCompany,IP,"$16,005.00"
336,"BritishSkyBroadcastingGroup,plc",BSY,"$15,955.30"
337,WooriFinanceHoldingsCoLtd,WF,"$15,894.70"
338,"ComputerAssociatesInternational,Inc.",CA,"$15,857.20"
339,"ClearChannelCommunications,Inc.",CCU,"$15,821.10"
340,"Gap,Inc.(The)",GPS,"$15,731.50"
341,"Nike,Inc.",NKE,"$15,671.20"
342,"ForestLaboratories,Inc.",FRX,"$15,633.10"
343,"Allergan,Inc.",AGN,"$15,627.30"
344,"WeatherfordInternational,Inc.",WFT,"$15,567.10"
345,NatlBkGreeceAds,NBG,"$15,552.60"
346,"SunMicrosystems,Inc.",SUNW,"$15,364.10"
347,FordMotorCreditCompany,F,"$15,330.40"
348,Kohl'sCorporation,KSS,"$15,303.60"
349,ShinhanFinancialGroupCoLtd,SHG,"$15,300.50"
350,CIGNACorporation,CI,"$15,294.80"
351,"TranscanandaPipelines,Ltd.",TRP,"$15,226.10"
352,BiogenIdecInc,BIIB,"$15,188.60"
353,RegionsFinancingTrI,RF,"$15,141.60"
354,"TPG,N.V.",TP,"$15,073.60"
355,"Nexen,Inc.",NXY,"$14,979.70"
356,REYNOLDSAMERICANINC,RAI,"$14,907.30"
357,"GannettCo.,Inc.",GCI,"$14,825.30"
358,"LeggMason,Inc.",LM,"$14,787.50"
359,KraftFoodsInc.,KFT,"$14,764.60"
360,OmnicomGroupInc.,OMC,"$14,747.60"
361,MellonFinancialCorporation,MEL,"$14,747.30"
362,"Harley-Davidson,Inc.",HDI,"$14,700.20"
363,"AmericanElectricPowerCompany,Inc.",AEP,"$14,692.30"
364,ChicagoMercantileExchangeHoldings,CME,"$14,591.50"
365,"AnalogDevices,Inc.",ADI,"$14,588.90"
366,"AgilentTechnologies,Inc.",A,"$14,539.30"
367,EntergyCorporation,ETR,"$14,421.90"
368,AmeradaHessCorporation,AHC,"$14,401.80"
369,KeyCorp,KEY,"$14,390.40"
370,WOLSELEYPLC,WOS,"$14,377.90"
371,"BearStearnsCompanies,Inc(The)",BSC,"$14,329.70"
372,SantaFeInternationalCorporation,GSF,"$14,327.40"
373,TELECOMITALIASPANEW,TI/A,"$14,294.00"
374,EdisonInternational,EIX,"$14,277.00"
375,"WilliamsCompanies,Inc.(The)",WMB,"$14,042.80"
376,ABVolvo,VOLVY,"$14,026.30"
377,"Yum!Brands,Inc.",YUM,"$14,003.10"
378,PacificGas&ElectricCo.,PCG,"$13,982.10"
379,ICICIBankLimited,IBN,"$13,970.80"
380,"P.T.TelekomunikasiIndonesia,Tbk.",TLK,"$13,950.70"
381,MarriotInternational,MAR,"$13,885.80"
382,SaraLeeCorporation,SLE,"$13,884.40"
383,AkzoNobelN.V.,AKZOY,"$13,852.40"
384,CamecoCorporation,CCJ,"$13,797.50"
385,"Paychex,Inc.",PAYX,"$13,776.20"
386,"AirProductsandChemicals,Inc.",APD,"$13,711.40"
387,"Coach,Inc.",COH,"$13,663.40"
388,GeneralMotorsCorporation,GM,"$13,606.40"
389,SyngentaAG,SYT,"$13,583.20"
390,"Harrah'sEntertainment,Inc.",HET,"$13,526.10"
391,"EntergyMississippi,Inc.",EMQ,"$13,483.80"
392,iSharesS&P500IndexFund,IVV,"$13,458.50"
393,"MaximIntegratedProducts,Inc.",MXIM,"$13,453.50"
394,"JohnsonControls,Inc.",JCI,"$13,446.40"
395,BOCGroupplc(The),BOX,"$13,415.20"
396,KrogerCompany(The),KR,"$13,348.90"
397,"StarwoodHotels&ResortsWorldwide,Inc.",HOT,"$13,331.60"
398,XeroxCorporation,XRX,"$13,325.30"
399,TelkomSALtd,TKG,"$13,317.10"
400,"ExpressScripts,Inc.",ESRX,"$13,294.90"
401,ScheringAktiengesellschaft,SHR,"$13,279.40"
402,"National-Oilwell,Inc.",NOV,"$13,259.10"
403,SouthwestAirlinesCompany,LUV,"$13,233.80"
404,PrincipalFinancialGroupInc,PFG,"$13,211.90"
405,WPPGroupplc,WPPGY,"$13,197.10"
406,NidecCorporation(NihonDensanKabushikiKaisha),NJ,"$13,190.40"
407,ElectronicDataSystemsCorporation,EDS,"$13,137.60"
408,PeabodyEnergyCorporation,BTU,"$13,135.30"
409,BJServicesCompany,BJS,"$13,110.70"
410,NucorCorporation,NUE,"$13,107.80"
411,NortelNetworksCorporation,NT,"$13,004.60"
412,Ingersoll-RandCompany,IR,"$12,991.90"
413,"AvonProducts,Inc.",AVP,"$12,981.70"
414,UnitedMicroelectronicsCorporation,UMC,"$12,966.40"
